session_id,stream_count,song_title_nunique,primary_artist_nunique,album_nunique,session_length,weekday,season,time_of_day_start,first_artist_listen_sum,first_song_listen_sum,first_album_listen_sum,first_listen_any_sum,artist_diversity,album_diversity,song_diversity,first_listen_ratio,cluster_filt
5109,13,13,2,2,0.5611111111111111,wednesday,spring,evening,1,7,1,7,0.15384615384615385,0.15384615384615385,1.0,0.5384615384615384,0
5110,1,1,1,1,0.0,wednesday,spring,evening,0,0,0,0,1.0,1.0,1.0,0.0,3
5111,26,26,20,25,1.3330555555555557,thursday,spring,evening,10,22,22,22,0.7692307692307693,0.9615384615384616,1.0,0.8461538461538461,2
5112,9,9,9,9,0.33611111111111114,sunday,spring,afternoon,7,8,8,8,1.0,1.0,1.0,0.8888888888888888,1
5113,2,2,1,1,0.02277777777777778,sunday,spring,evening,0,2,1,2,0.5,0.5,1.0,1.0,1
5114,1,1,1,1,0.0,monday,spring,morning,1,1,1,1,1.0,1.0,1.0,1.0,1
5115,1,1,1,1,0.0,tuesday,spring,morning,1,1,1,1,1.0,1.0,1.0,1.0,1
5116,1,1,1,1,0.0,wednesday,spring,night,0,0,0,0,1.0,1.0,1.0,0.0,3
5117,18,17,6,7,0.8577777777777778,wednesday,spring,afternoon,1,10,4,10,0.3333333333333333,0.3888888888888889,0.9444444444444444,0.5555555555555556,2
5118,9,9,2,2,0.4091666666666667,thursday,spring,evening,0,8,1,8,0.2222222222222222,0.2222222222222222,1.0,0.8888888888888888,1
5119,8,8,4,8,0.3738888888888889,thursday,spring,afternoon,0,0,0,0,0.5,1.0,1.0,0.0,0
5120,10,10,4,9,0.5258333333333334,thursday,spring,afternoon,0,0,0,0,0.4,0.9,1.0,0.0,0
5121,8,8,6,8,0.48638888888888887,monday,spring,afternoon,4,6,6,6,0.75,1.0,1.0,0.75,1
5122,5,4,4,4,0.16972222222222222,tuesday,spring,morning,2,4,4,4,0.8,0.8,0.8,0.8,1
5123,56,56,23,23,3.1327777777777777,wednesday,spring,afternoon,13,25,18,25,0.4107142857142857,0.4107142857142857,1.0,0.44642857142857145,2
5124,16,16,9,13,0.9302777777777778,wednesday,spring,night,0,2,0,2,0.5625,0.8125,1.0,0.125,2
5125,6,6,2,3,0.2652777777777778,wednesday,spring,morning,1,2,2,2,0.3333333333333333,0.5,1.0,0.3333333333333333,0
5126,5,5,1,3,0.3325,thursday,spring,evening,0,0,0,0,0.2,0.6,1.0,0.0,0
5127,1,1,1,1,0.0,thursday,spring,night,1,1,1,1,1.0,1.0,1.0,1.0,1
5128,11,11,11,11,0.5386111111111112,thursday,spring,morning,3,10,7,10,1.0,1.0,1.0,0.9090909090909091,1
5129,21,21,20,21,1.085,thursday,spring,afternoon,3,8,6,8,0.9523809523809523,1.0,1.0,0.38095238095238093,2
5130,3,3,3,3,0.1322222222222222,friday,spring,afternoon,0,1,0,1,1.0,1.0,1.0,0.3333333333333333,3
5131,6,6,1,5,0.295,friday,spring,afternoon,0,0,0,0,0.16666666666666666,0.8333333333333334,1.0,0.0,0
5132,31,30,9,9,1.5219444444444445,friday,spring,evening,0,3,2,3,0.2903225806451613,0.2903225806451613,0.967741935483871,0.0967741935483871,2
5133,2,2,1,1,0.058333333333333334,friday,spring,evening,0,2,0,2,0.5,0.5,1.0,1.0,1
5134,1,1,1,1,0.0,saturday,spring,evening,0,1,1,1,1.0,1.0,1.0,1.0,1
5135,6,6,1,1,0.2783333333333333,saturday,spring,night,0,5,1,5,0.16666666666666666,0.16666666666666666,1.0,0.8333333333333334,1
